NAME_CHN,adcode,level,x,y
冕宁县,513433,district,102.17,28.55
美姑县,513436,district,103.132,28.327
甘洛县,513435,district,102.775,28.977
雷波县,513437,district,103.571,28.262
淮阴区,320804,district,119.02,33.622
淮安区,320803,district,119.146,33.507
沁阳市,410882,district,112.934,35.089
尖山区,230502,district,131.158,46.642
孟州市,410883,district,112.787,34.909
颍州区,341202,district,115.813,32.891
颍泉区,341204,district,115.804,32.924
颍东区,341203,district,115.858,32.908
潞城市,140481,district,113.223,36.332
伊吾县,650522,district,94.692,43.252
巴里坤哈萨克自治县,650521,district,93.021,43.599
鄢陵县,411024,district,114.188,34.1
襄城县,411025,district,113.493,33.855
岭东区,230503,district,131.163,46.591
清江浦区,320812,district,119.019,33.603
宝山区,230506,district,131.404,46.573
四方台区,230505,district,131.333,46.594
太和县,341222,district,115.627,33.162
洪泽区,320813,district,118.867,33.294
临泉县,341221,district,115.261,33.062
金湖县,320831,district,119.016,33.018
涟水县,320826,district,119.266,33.771
友谊县,230522,district,131.81,46.775
集贤县,230521,district,131.139,46.728
盱眙县,320830,district,118.493,33.004
饶河县,230524,district,134.021,46.801
宝清县,230523,district,132.206,46.328
东海县,320722,district,118.766,34.522
颍上县,341226,district,116.259,32.637
海棠区,460202,district,109.76,18.407
阜南县,341225,district,115.59,32.638
灌南县,320724,district,119.352,34.092
灌云县,320723,district,119.255,34.298
天涯区,460204,district,109.506,18.247
吉阳区,460203,district,109.512,18.247
崖州区,460205,district,109.174,18.352
旅顺口区,210212,district,121.267,38.812
城区,140402,district,113.114,36.187
甘井子区,210211,district,121.582,38.975
普兰店区,210214,district,121.97,39.401
金州区,210213,district,121.789,39.052
中山区,210202,district,121.643,38.921
沙河口区,210204,district,121.593,38.912
西岗区,210203,district,121.616,38.914
长海县,210224,district,122.587,39.272
友好区,230704,district,128.838,47.854
长治县,140421,district,113.056,36.052
南岔区,230703,district,129.282,47.137
龙华区,460106,district,110.33,20.031
翠峦区,230706,district,128.671,47.726
秀英区,460105,district,110.282,20.008
西林区,230705,district,129.311,47.479
美兰区,460108,district,110.356,20.03
美溪区,230708,district,129.133,47.636
琼山区,460107,district,110.354,20.001
新青区,230707,district,129.529,48.288
五营区,230710,district,129.245,48.108
郊区,140411,district,113.101,36.218
金山屯区,230709,district,129.435,47.412
历下区,370102,district,117.038,36.664
